# From IANA IPv4 Special-Purpose Address Registry
# http://www.iana.org/assignments/iana-ipv4-special-registry/iana-ipv4-special-registry.xhtml
# Updated 2021-02-04

0.0.0.0/8               # RFC791: This network
0.0.0.0/32              # RFC1122: This host on this network
10.0.0.0/8              # RFC1918: Private-Use
100.64.0.0/10           # RFC6598: Shared Address Space
127.0.0.0/8             # RFC1122: Loopback
169.254.0.0/16          # RFC3927: Link Local
172.16.0.0/12           # RFC1918: Private-Use
192.0.0.0/24            # RFC6890: IETF Protocol Assignments
192.0.0.0/29            # RFC7335: IPv4 Service Continuity Prefix
192.0.0.8/32            # RFC7600: IPv4 dummy address
192.0.0.9/32            # RFC7723: Port Control Protocol Anycast
192.0.0.10/32           # RFC8155: Traversal Using Relays around NAT Anycast

192.0.0.170/32          # RFC8880, RFC7050: NAT64/DNS64 Discovery
192.0.0.171/32

192.0.2.0/24            # RFC5737: Documentation (TEST-NET-1)
192.31.196.0/24         # RFC7535: AS112-v4
192.52.193.0/24         # RFC7450: AMT
192.88.99.0/24          # RFC7526: Deprecated (6to4 Relay Anycast)
192.168.0.0/16          # RFC1918: Private-Use
192.175.48.0/24         # RFC7534: Direct Delegation AS112 Service
198.18.0.0/15           # RFC2544: Benchmarking
198.51.100.0/24         # RFC5737: Documentation (TEST-NET-2)
203.0.113.0/24          # RFC5737: Documentation (TEST-NET-3)
240.0.0.0/4             # RFC1112: Reserved
255.255.255.255/32      # RFC8190, RFC919: Limited Broadcast

224.0.0.0/4             # RFC5771: Multicast/Reserved
