# From IANA IPv6 Special-Purpose Address Registry
# http://www.iana.org/assignments/iana-ipv6-special-registry/iana-ipv6-special-registry.xhtml
# Updated 2023-03-15

::1/128             # RFC4291: Loopback Address
::/128              # RFC4291: Unspecified Address
::ffff:0:0/96       # RFC4291: IPv4-mapped Address
64:ff9b::/96        # RFC6052: IPv4-IPv6 Translat.
64:ff9b:1::/48      # RFC8215: IPv4-IPv6 Translat.
100::/64            # RFC6666: Discard-Only Address Block
2001::/23           # RFC2928: IETF Protocol Assignments
2001::/32           # RFC4380: TEREDO
2001:1::1/128       # RFC7723: Port Control Protocol Anycast
2001:1::2/128       # RFC8155: Traversal Using Relays around NAT Anycast
2001:2::/48         # RFC5180, RFC Errata 1752: Benchmarking
2001:3::/32         # RFC7450: AMT
2001:4:112::/48     # RFC7535: AS112-v6
2001:10::/28        # RFC4843: Deprecated (previously ORCHID)
2001:20::/28        # RFC7343: ORCHIDv2
2001:30::/28        # RFC9374: Drone Remote ID Protocol Entity Tags (DETs) Prefix
2001:db8::/32       # RFC3849: Documentation
2002::/16           # RFC3056: 6to4
2620:4f:8000::/48   # RFC7534: Direct Delegation AS112 Service
fc00::/7            # RFC4193, RFC8190: Unique-Local
fe80::/10           # RFC4291: Link-Local Unicast
